,ratio_baseline,linear_regression,SVM,NN,GP
0,1.14423720247,0.973229906985,0.974797234438,0.958818526602,0.959613196908
1,1.03613073948,0.873232033021,0.882711755796,0.868208235096,0.868949837101
2,0.830856162491,0.699606319447,0.707833055467,0.696200083193,0.696796552301
3,1.29473806257,1.0806436772,1.10304661858,1.08487200847,1.08583056637
4,1.45144018692,1.20120238124,1.23657178591,1.21613849302,1.21724861922
5,1.14266387209,0.958275425932,0.973478881575,0.95746195995,0.958293724241
6,1.19561682786,0.982671739653,1.0186411457,1.00175927221,1.00270265676
7,1.56141623216,1.29728082965,1.33025477946,1.30830403154,1.30947990177
8,1.12668955088,0.947335559044,0.959865373295,0.944084046398,0.944896878572
9,0.889705862396,0.726357444706,0.758052435749,0.745403772369,0.746150781106
10,1.05820310988,0.888769323729,0.901521154749,0.886694486893,0.887460804579
11,1.41959524957,1.19018835429,1.20940787771,1.18950755324,1.1905419011
12,1.04028409899,0.86771078593,0.886268180397,0.872348964765,0.872433047702
13,1.21878975576,1.03802394296,1.03830798045,1.02129377688,1.02213660897
14,1.54115761091,1.29719387559,1.31296253966,1.29138217414,1.29249003412
15,1.34741927681,1.11426679234,1.14795219069,1.12897778628,1.13001160424
16,1.07557094093,0.905635312111,0.916313484452,0.901254085194,0.902026316015
17,1.34777641704,1.10206330315,1.14830683169,1.129213083,1.13031111741
18,1.65369507409,1.35046926596,1.40896825881,1.38550264773,1.38686944098
19,1.33204972482,1.13056364663,1.1348017937,1.11619045746,1.11712194983
20,1.60282913106,1.32475556739,1.36555407723,1.34297816652,1.34421078039
21,1.20034972328,1.02314513352,1.02259743438,1.0058439579,1.00667189726
22,1.23724522881,1.04729445208,1.05404006442,1.0367414859,1.03761426951
23,1.36571631361,1.14812228099,1.16350078057,1.14437056284,1.14535639451
24,1.16628384042,0.953550264414,0.993675832026,0.977151464548,0.978102580047
25,1.30373642681,1.09612335575,1.11069779516,1.09243625347,1.0933770347
26,0.854232743652,0.715829337147,0.727754443942,0.715777790363,0.716401294577
27,1.11834730285,0.957172589581,0.952732882145,0.937139265669,0.937900663123
28,1.03797673549,0.863779382088,0.884305292523,0.869721070066,0.870497978592
29,1.17865052466,0.972935314009,1.00423305868,0.989752928225,0.988473888782
30,1.24040203788,1.01294455363,1.05683781882,1.03923627455,1.04026171923
31,1.14904243903,0.977906955935,0.978890057836,0.962846641465,0.963643102987
32,0.770598767849,0.634074735511,0.65653180695,0.645657155768,0.646261757063
