,route_id,direction_id,stop_id,dist_along_route
0,X42,0.0,202823.0,0.0
1,X42,0.0,202824.0,523.06
2,X42,0.0,203087.0,915.53
3,X42,0.0,203730.0,1476.59
4,X42,0.0,201485.0,1919.16
5,X42,0.0,203537.0,2259.36
6,X42,0.0,203693.0,3038.58
7,X42,0.0,203653.0,3893.59
8,X42,0.0,203603.0,4293.59
9,X42,0.0,203607.0,4603.15
10,X42,0.0,203719.0,4888.12
11,X42,0.0,201325.0,5142.13
12,X42,0.0,203161.0,5437.62
13,X42,0.0,203163.0,5677.84
14,X42,0.0,203164.0,5929.14
15,X42,0.0,905056.0,6348.27
16,X42,0.0,200535.0,6621.7
17,X42,0.0,200537.0,6987.15
18,X42,0.0,203615.0,7527.92
19,X42,0.0,805154.0,7923.69
20,X42,0.0,805033.0,15623.53
21,X42,0.0,805035.0,17516.48
22,X42,0.0,901114.0,18728.73
23,X42,0.0,805034.0,19086.95
24,X42,0.0,805037.0,19473.66
25,X42,0.0,805039.0,22695.44
26,X42,0.0,805038.0,24745.58
27,X42,0.0,901171.0,26121.01
28,X42,0.0,901112.0,28457.14
29,X42,0.0,901111.0,30649.11
30,X42,0.0,402143.0,35413.48
31,X42,0.0,402144.0,35689.05
32,X42,0.0,402145.0,35856.34
33,X42,0.0,905030.0,36161.3
34,X42,0.0,404295.0,36446.56
35,X42,0.0,404877.0,36808.93
36,X42,0.0,400354.0,37251.31
37,X42,0.0,450040.0,37769.93
38,X42,0.0,404299.0,38338.12
39,X42,0.0,404300.0,38812.68
40,X42,0.0,402227.0,39067.16
41,X42,0.0,402228.0,39214.35
42,X42,0.0,402229.0,39531.86
43,X42,0.0,400744.0,39798.76
44,X42,0.0,400745.0,39977.51
45,X42,0.0,402233.0,40329.69
46,X42,0.0,403986.0,40622.33
47,X42,0.0,905057.0,40898.34
105,S57,0.0,202686.0,0.0
106,S57,0.0,202501.0,268.85
107,S57,0.0,202502.0,447.67
108,S57,0.0,202503.0,574.68
109,S57,0.0,202553.0,805.13
110,S57,0.0,201126.0,1075.3
111,S57,0.0,201127.0,1324.52
112,S57,0.0,203697.0,1437.65
113,S57,0.0,201754.0,1685.04
114,S57,0.0,201755.0,1883.22
115,S57,0.0,201756.0,2123.2
116,S57,0.0,201448.0,2287.95
117,S57,0.0,201758.0,2596.53
118,S57,0.0,203174.0,2776.08
119,S57,0.0,201450.0,2987.8
120,S57,0.0,201451.0,3192.25
121,S57,0.0,202545.0,3413.31
122,S57,0.0,201453.0,3580.61
123,S57,0.0,202786.0,3862.37
124,S57,0.0,203012.0,3993.13
125,S57,0.0,201455.0,4208.94
126,S57,0.0,203470.0,4395.09
127,S57,0.0,202391.0,4566.01
128,S57,0.0,201378.0,4777.65
129,S57,0.0,905141.0,4915.2
130,S57,0.0,201460.0,5236.53
131,S57,0.0,200340.0,5477.72
132,S57,0.0,201462.0,5687.48
133,S57,0.0,201463.0,5950.27
134,S57,0.0,201464.0,6126.55
135,S57,0.0,201465.0,6415.77
136,S57,0.0,202678.0,7422.89
137,S57,0.0,805010.0,8184.45
138,S57,0.0,805011.0,8468.62
139,S57,0.0,905182.0,8945.67
140,S57,0.0,805012.0,9273.04
141,S57,0.0,202546.0,9886.11
142,S57,0.0,201473.0,10150.31
143,S57,0.0,201474.0,10275.84
144,S57,0.0,203808.0,10411.34
145,S57,0.0,201476.0,10682.62
146,S57,0.0,201477.0,10847.88
147,S57,0.0,203538.0,11190.2
148,S57,0.0,203406.0,11427.33
149,S57,0.0,201480.0,11622.43
150,S57,0.0,203165.0,11930.79
151,S57,0.0,203166.0,12227.44
152,S57,0.0,203167.0,12471.05
153,S57,0.0,201427.0,12625.14
154,S57,0.0,201428.0,12759.08
155,S57,0.0,201429.0,12957.23
156,S57,0.0,201430.0,13212.03
157,S57,0.0,201431.0,13339.77
158,S57,0.0,201432.0,13623.41
159,S57,0.0,201433.0,13852.24
160,S57,0.0,201434.0,14135.23
161,S57,0.0,201435.0,14321.86
162,S57,0.0,201436.0,14503.63
163,S57,0.0,201437.0,14708.59
164,S57,0.0,203541.0,14979.53
165,S57,0.0,200900.0,15223.2
166,S57,0.0,202782.0,15520.37
167,S57,0.0,200902.0,15599.9
168,S57,0.0,200416.0,15866.05
169,S57,0.0,200417.0,16093.81
170,S57,0.0,905110.0,16389.91
171,S56,0.0,202632.0,0.0
172,S56,0.0,201182.0,509.15
173,S56,0.0,201183.0,674.46
174,S56,0.0,201184.0,1340.45
175,S56,0.0,203991.0,1507.75
176,S56,0.0,203393.0,1703.86
177,S56,0.0,202635.0,1832.56
178,S56,0.0,203394.0,1962.17
179,S56,0.0,203017.0,2116.79
180,S56,0.0,202275.0,2352.1
181,S56,0.0,202894.0,2631.85
182,S56,0.0,202277.0,2992.93
183,S56,0.0,202278.0,3157.96
184,S56,0.0,202279.0,3464.96
185,S56,0.0,202280.0,3749.12
186,S56,0.0,202893.0,4081.47
187,S55,0.0,805143.0,0.0
188,S55,0.0,203527.0,516.22
189,S55,0.0,203528.0,796.92
190,S55,0.0,805093.0,1022.54
191,S55,0.0,805094.0,1295.64
192,S55,0.0,203949.0,1430.34
193,S55,0.0,805096.0,1997.79
194,S55,0.0,805098.0,2867.95
195,S55,0.0,203959.0,3273.55
196,S55,0.0,203951.0,3789.8
197,S55,0.0,202899.0,4259.61
198,S55,0.0,203656.0,4529.28
199,S55,0.0,202934.0,4846.38
200,S55,0.0,200981.0,5000.17
201,S55,0.0,200982.0,5691.53
202,S55,0.0,805105.0,5873.91
203,S55,0.0,202641.0,6333.49
204,S55,0.0,203957.0,6492.8
205,S55,0.0,202329.0,7189.36
206,S55,0.0,202330.0,7565.16
207,S55,0.0,202331.0,7811.26
208,S55,0.0,202332.0,8110.24
209,S55,0.0,202333.0,8460.83
210,S55,0.0,202334.0,8624.29
211,S55,0.0,202335.0,9189.95
212,S55,0.0,202922.0,9441.01
213,S55,0.0,202921.0,10012.22
214,S55,0.0,203597.0,10314.77
215,S55,0.0,203001.0,10649.58
216,S55,0.0,202918.0,11112.46
217,S55,0.0,202095.0,11399.4
218,S55,0.0,202096.0,11599.61
219,S55,0.0,905046.0,12020.99
220,S55,0.0,202917.0,13252.33
221,S55,0.0,202845.0,13825.63
222,S55,0.0,202844.0,14407.09
223,S55,0.0,202842.0,14947.74
224,S55,0.0,202841.0,15339.4
225,S55,0.0,905162.0,15770.44
226,S54,0.0,203463.0,0.0
227,S54,0.0,200479.0,252.96
228,S54,0.0,200480.0,388.51
229,S54,0.0,203399.0,545.41
230,S54,0.0,203361.0,858.98
231,S54,0.0,200484.0,1218.6
232,S54,0.0,200486.0,1564.67
233,S54,0.0,200487.0,1849.2
234,S54,0.0,200488.0,2135.27
235,S54,0.0,203460.0,2383.0
236,S54,0.0,200490.0,2575.72
237,S54,0.0,200491.0,2827.51
238,S54,0.0,200492.0,2998.85
239,S54,0.0,203214.0,3299.01
240,S54,0.0,203215.0,3532.54
241,S54,0.0,200496.0,3808.73
242,S54,0.0,202103.0,4096.42
243,S54,0.0,202724.0,4236.81
244,S54,0.0,203113.0,4519.21
245,S54,0.0,202800.0,4770.16
246,S54,0.0,203655.0,4907.09
247,S54,0.0,202651.0,5248.33
248,S54,0.0,203625.0,5595.74
249,S54,0.0,203644.0,5874.92
250,S54,0.0,200507.0,6063.44
251,S54,0.0,200508.0,6263.49
252,S54,0.0,200509.0,6567.25
253,S54,0.0,203682.0,6790.71
254,S54,0.0,201462.0,6927.89
255,S54,0.0,201463.0,7190.67
256,S54,0.0,201464.0,7366.95
257,S54,0.0,201465.0,7656.17
258,S54,0.0,203651.0,8144.42
259,S54,0.0,202678.0,8663.29
260,S54,0.0,805010.0,9424.85
261,S54,0.0,805011.0,9709.02
262,S54,0.0,905182.0,10186.07
263,S54,0.0,805012.0,10513.45
264,S54,0.0,203009.0,10738.72
265,S54,0.0,202546.0,11126.51
266,S54,0.0,201684.0,11377.95
267,S54,0.0,201685.0,11569.47
268,S54,0.0,201686.0,11787.8566667
269,S54,0.0,201687.0,12007.5
270,S54,0.0,201688.0,12473.4
271,S54,0.0,201689.0,12611.49
272,S54,0.0,201690.0,12782.6
273,S54,0.0,201691.0,12987.24
274,S54,0.0,201692.0,13214.68
275,S54,0.0,201693.0,13413.18
276,S54,0.0,201694.0,13699.98
277,S54,0.0,201695.0,13878.9
278,S54,0.0,201696.0,14033.04
279,S54,0.0,201697.0,14197.18
280,S54,0.0,201698.0,14395.45
281,S54,0.0,201699.0,14648.8
282,S54,0.0,201700.0,14797.76
283,S54,0.0,201701.0,15033.09
284,S54,0.0,202978.0,15292.45
285,S54,0.0,203643.0,15644.34
286,S54,0.0,203030.0,15943.62
287,S54,0.0,203031.0,16202.32
288,S54,0.0,200263.0,16489.63
289,S54,0.0,200265.0,16806.64
290,S54,0.0,200266.0,16948.72
291,S54,0.0,201711.0,17216.91
292,S54,0.0,201712.0,17338.03
293,S54,0.0,201713.0,17552.28
294,S54,0.0,200063.0,17970.09
295,S54,0.0,905106.0,18193.56
296,S53,0.0,202740.0,0.0
297,S53,0.0,200426.0,338.71
298,S53,0.0,200427.0,630.58
299,S53,0.0,200259.0,878.04
300,S53,0.0,200261.0,1184.39
301,S53,0.0,203032.0,1543.65
302,S53,0.0,200263.0,1770.1
303,S53,0.0,200264.0,1978.11
304,S53,0.0,200265.0,2087.11
305,S53,0.0,200266.0,2229.18
306,S53,0.0,203034.0,2441.0
307,S53,0.0,203035.0,2659.88
308,S53,0.0,203036.0,2859.02
309,S53,0.0,203037.0,3102.76
310,S53,0.0,203038.0,3274.0
311,S53,0.0,203039.0,3536.47
312,S53,0.0,203456.0,3676.56
313,S53,0.0,200646.0,3984.52
314,S53,0.0,200715.0,4205.75
315,S53,0.0,202603.0,4471.31
316,S53,0.0,203554.0,4795.63
317,S53,0.0,200612.0,4969.66
318,S53,0.0,202787.0,5125.16
319,S53,0.0,203052.0,5251.96
320,S53,0.0,200652.0,5597.38
321,S53,0.0,203499.0,6219.12
322,S53,0.0,203500.0,6312.34
323,S53,0.0,203501.0,6504.18
324,S53,0.0,203502.0,6661.42
325,S53,0.0,203503.0,6804.29
326,S53,0.0,203504.0,7005.26
327,S53,0.0,203505.0,7268.82
328,S53,0.0,200660.0,7675.06
329,S53,0.0,200661.0,7857.87
330,S53,0.0,200662.0,8110.5
331,S53,0.0,200663.0,8313.05
332,S53,0.0,200664.0,8484.06
333,S53,0.0,201289.0,8573.37
