,trip_id,service_date,weather,rush_hour,baseline_result,delay_current_trip,ratio_current_trip,delay_prev_trip,ratio_prev_trip,prev_arrival_time,actual_arrival_time,shape_id,stop_id,time_of_day,dist_along_route
23,MA_A6-Weekday-SDon-040200_X15_606,20160105.0,0.0,0.0,3814.48485562,-0.0575744664424,0.942425533558,-0.327083696177,0.942425533558,2644.2535774,3658.366129,X150112,903098.0,2016-01-05 12:00:00,6274.81727273
24,MA_A6-Weekday-SDon-040200_X15_606,20160105.0,0.0,0.0,3514.88895949,-0.0359528521612,0.964047147839,-0.336244673628,0.964047147839,2625.6058973,3358.366129,X150112,903098.0,2016-01-05 12:05:00,7673.775
25,MA_A6-Weekday-SDon-040200_X15_606,20160105.0,0.0,0.0,3264.12240892,-0.0126371213739,0.987362878626,-0.19030266852,0.987362878626,2438.32062618,3058.366129,X150112,903098.0,2016-01-05 12:10:00,9094.955625
26,MA_A6-Weekday-SDon-040200_X15_606,20160105.0,0.0,0.0,2916.80809027,-0.0302397461791,0.969760253821,-0.214806478783,0.969760253821,2327.26385953,2758.366129,X150112,903098.0,2016-01-05 12:15:00,10620.392
27,MA_A6-Weekday-SDon-040200_X15_606,20160105.0,0.0,0.0,2639.97649179,-0.00581898149725,0.994181018503,-0.235833322835,0.994181018503,1993.3894741,2458.366129,X150112,903098.0,2016-01-05 12:20:00,11717.965
28,MA_A6-Weekday-SDon-040200_X15_606,20160105.0,0.0,0.0,2296.49254852,-0.0504001375668,0.949599862433,-0.299925158617,0.949599862433,1847.50140436,2158.366129,X150112,903098.0,2016-01-05 12:25:00,13125.6008421
29,MA_A6-Weekday-SDon-040200_X15_606,20160105.0,0.0,0.0,2197.38044863,-0.0504001375668,0.949599862433,-0.268278274254,0.949599862433,1769.96876539,1858.366129,X150112,903098.0,2016-01-05 12:30:00,14279.0164706
30,MA_A6-Weekday-SDon-040800_X15_607,20160105.0,0.0,0.0,292.230758604,0.0498306611563,1.04983066116,0.0783252415859,1.04983066116,342.387445174,234.005773,X150112,201758.0,2016-01-05 12:00:00,3627.46650794
31,MA_A6-Weekday-SDon-040800_X15_607,20160105.0,0.0,0.0,2779.29437713,0.0498306611563,1.04983066116,-0.190577619189,1.04983066116,2329.17138067,2787.504037,X150112,901114.0,2016-01-05 12:00:00,3627.46650794
32,MA_A6-Weekday-SDon-040800_X15_607,20160105.0,0.0,0.0,2403.24038891,-0.0344644938661,0.965535506134,-0.272841070165,0.965535506134,2093.06202441,2487.504037,X150112,901114.0,2016-01-05 12:05:00,5441.04357895
33,MA_A6-Weekday-SDon-040800_X15_607,20160105.0,0.0,0.0,2152.52115679,0.0269034731486,1.02690347315,-0.287223697262,1.02690347315,1923.29241084,2187.504037,X150112,901114.0,2016-01-05 12:10:00,6504.9062766
34,MA_A6-Weekday-SDon-040800_X15_607,20160105.0,0.0,0.0,1810.92741506,-0.00454299953257,0.995457000467,-0.246087442586,0.995457000467,1750.97950514,1887.504037,X150112,901114.0,2016-01-05 12:15:00,8408.93952381
35,MA_A6-Weekday-SDon-040800_X15_607,20160105.0,0.0,0.0,1504.5836328,0.00851944449137,1.00851944449,-0.254712920114,1.00851944449,1418.9865363,1587.504037,X150112,901114.0,2016-01-05 12:20:00,9985.7215625
36,MA_A6-Weekday-SDon-040800_X15_607,20160105.0,0.0,0.0,1227.72191903,-0.0159634149018,0.984036585098,-0.284424113112,0.984036585098,1176.66823201,1287.504037,X150112,901114.0,2016-01-05 12:25:00,10970.1697872
37,MA_A6-Weekday-SDon-040800_X15_607,20160105.0,0.0,0.0,929.228352097,0.0177862272101,1.01778622721,-0.00468492394195,1.01778622721,1125.93568414,987.504037,X150112,901114.0,2016-01-05 12:30:00,12255.8285714
38,MA_A6-Weekday-SDon-040800_X15_607,20160105.0,0.0,0.0,4374.30766165,0.0498306611563,1.04983066116,-0.313216375623,1.04983066116,3208.11129367,4405.52319,X150112,903098.0,2016-01-05 12:00:00,3627.46650794
39,MA_A6-Weekday-SDon-040800_X15_607,20160105.0,0.0,0.0,3998.25367343,-0.0344644938661,0.965535506134,-0.328263145929,0.965535506134,3074.57792341,4105.52319,X150112,903098.0,2016-01-05 12:05:00,5441.04357895
40,MA_A6-Weekday-SDon-040800_X15_607,20160105.0,0.0,0.0,3747.53444131,0.0269034731486,1.02690347315,-0.214028962106,1.02690347315,2928.09807784,3805.52319,X150112,903098.0,2016-01-05 12:10:00,6504.9062766
41,MA_A6-Weekday-SDon-040800_X15_607,20160105.0,0.0,0.0,3405.94069958,-0.00454299953257,0.995457000467,-0.184807509453,0.995457000467,2755.78517214,3505.52319,X150112,903098.0,2016-01-05 12:15:00,8408.93952381
42,MA_A6-Weekday-SDon-040800_X15_607,20160105.0,0.0,0.0,3099.59691732,0.00851944449137,1.00851944449,-0.182940186246,1.00851944449,2423.7922033,3205.52319,X150112,903098.0,2016-01-05 12:20:00,9985.7215625
43,MA_A6-Weekday-SDon-040800_X15_607,20160105.0,0.0,0.0,2822.73520355,-0.0159634149018,0.984036585098,-0.188824522546,0.984036585098,2285.86939101,2905.52319,X150112,903098.0,2016-01-05 12:25:00,10970.1697872
44,MA_A6-Weekday-SDon-040800_X15_607,20160105.0,0.0,0.0,2524.24163662,0.0177862272101,1.01778622721,-0.200990535972,1.01778622721,2190.72812764,2605.52319,X150112,903098.0,2016-01-05 12:30:00,12255.8285714
45,MA_A6-Weekday-SDon-040200_X30_607,20160105.0,0.0,0.0,171.165120772,0.163746781728,1.16374678173,-0.566804191709,1.16374678173,124.418640211,180.04442,X300089,201558.0,2016-01-05 12:00:00,4935.57193548
46,MA_A6-Weekday-SDon-040200_X30_607,20160105.0,0.0,0.0,245.713856298,0.163746781728,1.16374678173,-0.486282613427,1.16374678173,176.511513211,237.584199,X300089,201560.0,2016-01-05 12:00:00,4935.57193548
47,MA_A6-Weekday-SDon-040200_X30_607,20160105.0,0.0,0.0,4215.5087778,0.163746781728,1.16374678173,-0.22334276021,1.16374678173,4340.49208921,4600.786368,X300089,403465.0,2016-01-05 12:00:00,4935.57193548
48,MA_A6-Weekday-SDon-040200_X30_607,20160105.0,0.0,0.0,3889.98160198,0.0573903217608,1.05739032176,-0.215080568206,1.05739032176,4046.88711357,4300.786368,X300089,403465.0,2016-01-05 12:05:00,6476.61258065
49,MA_A6-Weekday-SDon-040200_X30_607,20160105.0,0.0,0.0,3613.49696508,0.0359445190941,1.03594451909,-0.243308344497,1.03594451909,2079.40595669,4000.786368,X300089,403465.0,2016-01-05 12:10:00,7410.20387097
50,MA_A6-Weekday-SDon-040200_X30_607,20160105.0,0.0,0.0,3363.95857952,0.0694209846899,1.06942098469,-0.229268201213,1.06942098469,1802.68540745,3700.786368,X300089,403465.0,2016-01-05 12:15:00,8300.49677419
51,MA_A6-Weekday-SDon-040200_X30_607,20160105.0,0.0,0.0,2990.3995388,0.0538433733094,1.05384337331,-0.216158177541,1.05384337331,1560.89159684,3400.786368,X300089,403465.0,2016-01-05 12:20:00,9474.88
52,MA_A6-Weekday-SDon-040200_X30_607,20160105.0,0.0,0.0,2265.72002475,-0.146873250335,0.853126749665,-0.785676625583,0.853126749665,3815.04683855,3100.786368,X300089,403465.0,2016-01-05 12:25:00,13413.3642553
53,MA_A6-Weekday-SDon-040200_X30_607,20160105.0,0.0,0.0,2016.54099391,-0.146873250335,0.853126749665,-0.759150067292,0.853126749665,3645.06619778,2800.786368,X300089,403465.0,2016-01-05 12:30:00,19706.01
54,MA_A6-Weekday-SDon-041000_X30_608,20160105.0,0.0,0.0,532.18034606,-0.0412933650646,0.958706634935,-0.515432654226,0.958706634935,460.353921163,519.377113,X300089,201560.0,2016-01-05 12:00:00,3647.3959375
55,MA_A6-Weekday-SDon-041000_X30_608,20160105.0,0.0,0.0,204.200445608,-0.020808793747,0.979191206253,-0.454202834717,0.979191206253,167.573980194,219.377113,X300089,201560.0,2016-01-05 12:05:00,5132.07344086
56,MA_A6-Weekday-SDon-041000_X30_608,20160105.0,0.0,0.0,4500.13112049,-0.0412933650646,0.958706634935,-0.223453594623,0.958706634935,4624.33449716,5343.157187,X300089,403465.0,2016-01-05 12:00:00,3647.3959375
57,MA_A6-Weekday-SDon-041000_X30_608,20160105.0,0.0,0.0,4172.15122003,-0.020808793747,0.979191206253,-0.21565808539,0.979191206253,4286.15865419,5043.157187,X300089,403465.0,2016-01-05 12:05:00,5132.07344086
58,MA_A6-Weekday-SDon-041000_X30_608,20160105.0,0.0,0.0,3880.05453791,-0.0310799922317,0.968920007768,-0.211449372953,0.968920007768,2372.96310947,4743.157187,X300089,403465.0,2016-01-05 12:10:00,6515.87578125
59,MA_A6-Weekday-SDon-041000_X30_608,20160105.0,0.0,0.0,3659.17805397,0.0148055326146,1.01480553261,-0.20091459631,1.01480553261,2165.43828263,4443.157187,X300089,403465.0,2016-01-05 12:15:00,7253.2659375
60,MA_A6-Weekday-SDon-041000_X30_608,20160105.0,0.0,0.0,3347.04077918,0.0138751569908,1.01387515699,-0.225793521378,1.01387515699,1908.37247972,4143.157187,X300089,403465.0,2016-01-05 12:20:00,8356.28774194
61,MA_A6-Weekday-SDon-041000_X30_608,20160105.0,0.0,0.0,2737.92781461,-0.0501156643496,0.94988433565,-0.144645664602,0.94988433565,4114.85722692,3843.157187,X300089,403465.0,2016-01-05 12:25:00,10168.3195745
62,MA_A6-Weekday-SDon-041000_X30_608,20160105.0,0.0,0.0,2183.94386189,-0.212238521537,0.787761478463,-0.777832382535,0.787761478463,4085.70402698,3543.157187,X300089,403465.0,2016-01-05 12:30:00,15430.6582258
63,MA_A6-Weekday-SDon-040500_X1242_614,20160105.0,0.0,0.0,199.959944308,0.0036741546533,1.00367415465,-0.25826353474,1.00367415465,205.068281032,231.268939,X420055,203161.0,2016-01-05 12:00:00,4669.28428571
64,MA_A6-Weekday-SDon-040500_X1242_614,20160105.0,0.0,0.0,5838.9960145,0.0036741546533,1.00367415465,0.0877408406215,1.00367415465,4004.60670537,6288.884131,X420055,400745.0,2016-01-05 12:00:00,4669.28428571
65,MA_A6-Weekday-SDon-040500_X1242_614,20160105.0,0.0,0.0,5575.59579367,0.023687876677,1.02368787668,0.0675964083009,1.02368787668,3996.75789319,5988.884131,X420055,400745.0,2016-01-05 12:05:00,5678.61225806
66,MA_A6-Weekday-SDon-040500_X1242_614,20160105.0,0.0,0.0,5290.69543754,0.0534108323862,1.05341083239,0.0821577393613,1.05341083239,3610.78028763,5688.884131,X420055,400745.0,2016-01-05 12:10:00,6556.75193548
67,MA_A6-Weekday-SDon-040500_X1242_614,20160105.0,0.0,0.0,4864.17802148,-0.0333850207566,0.966614979243,0.0466580424581,0.966614979243,3335.16894554,5388.884131,X420055,400745.0,2016-01-05 12:15:00,7650.98
68,MA_A6-Weekday-SDon-040500_X1242_614,20160105.0,0.0,0.0,4643.67542985,-0.100690806982,0.899309193018,-0.0292081547471,0.899309193018,3360.06584342,5088.884131,X420055,400745.0,2016-01-05 12:20:00,9154.69936508
69,MA_A6-Weekday-SDon-040500_X1242_614,20160105.0,0.0,0.0,4553.96217141,-0.100690806982,0.899309193018,-0.00993547543004,0.899309193018,3534.70798588,4788.884131,X420055,400745.0,2016-01-05 12:25:00,10719.678125
70,MA_A6-Weekday-SDon-040500_X1242_614,20160105.0,0.0,0.0,4399.59957185,-0.100690806982,0.899309193018,0.0250799299855,0.899309193018,3343.32599162,4488.884131,X420055,400745.0,2016-01-05 12:30:00,13412.4148936
71,MA_A6-Weekday-SDon-040500_X1242_614,20160105.0,0.0,0.0,1792.46996665,0.0036741546533,1.00367415465,0.1191748395,1.00367415465,1675.59014237,2108.978911,X420055,805035.0,2016-01-05 12:00:00,4669.28428571
72,MA_A6-Weekday-SDon-040500_X1242_614,20160105.0,0.0,0.0,1529.06974582,0.023687876677,1.02368787668,0.101015157941,1.02368787668,1566.87153019,1808.978911,X420055,805035.0,2016-01-05 12:05:00,5678.61225806
73,MA_A6-Weekday-SDon-040500_X1242_614,20160105.0,0.0,0.0,1244.16938969,0.0534108323862,1.05341083239,-0.135730002335,1.05341083239,1340.60475863,1508.978911,X420055,805035.0,2016-01-05 12:10:00,6556.75193548
74,MA_A6-Weekday-SDon-040500_X1242_614,20160105.0,0.0,0.0,817.65197364,-0.0333850207566,0.966614979243,-0.112323290445,0.966614979243,1068.71446387,1208.978911,X420055,805035.0,2016-01-05 12:15:00,7650.98
75,MA_A6-Weekday-SDon-040500_X1242_614,20160105.0,0.0,0.0,597.149382005,-0.100690806982,0.899309193018,-0.816123330881,0.899309193018,1009.74130708,908.978911,X420055,805035.0,2016-01-05 12:20:00,9154.69936508
76,MA_A6-Weekday-SDon-040500_X1242_614,20160105.0,0.0,0.0,507.436123563,-0.100690806982,0.899309193018,-0.725358106248,0.899309193018,789.876514544,608.978911,X420055,805035.0,2016-01-05 12:25:00,10719.678125
77,MA_A6-Weekday-SDon-040500_X1242_614,20160105.0,0.0,0.0,353.073524003,-0.100690806982,0.899309193018,-0.605088029087,0.899309193018,493.258959786,308.978911,X420055,805035.0,2016-01-05 12:30:00,13412.4148936
