,trip_id,vehicle_id,route_id,stop_id,time_of_day,dist_along_route,stop_num_from_call
2,CA_A6-Weekday-SDon-041000_X1011_309,2225.0,X11,400070.0,12:20:00,7274.84893617,5.0
3,MA_A6-Weekday-SDon-039500_X1011_601,2862.0,X11,400070.0,12:20:00,14370.4646809,2.0
0,CA_A6-Weekday-SDon-043500_X1011_315,2657.0,X11,400070.0,12:25:00,1433.10617021,20.0
1,MA_A6-Weekday-SDon-042500_X1011_602,2856.0,X11,400070.0,12:25:00,4584.276,11.0
2,CA_A6-Weekday-SDon-041000_X1011_309,2225.0,X11,400070.0,12:25:00,8253.52172043,2.0
3,MA_A6-Weekday-SDon-039500_X1011_601,2862.0,X11,400070.0,12:25:00,17966.6341935,2.0
0,CA_A6-Weekday-SDon-043500_X1011_315,2657.0,X11,400070.0,12:30:00,3021.37770833,15.0
1,MA_A6-Weekday-SDon-046500_X1242_602,2890.0,X11,400070.0,12:30:00,70.5068085106,23.0
2,MA_A6-Weekday-SDon-044500_X1011_603,2634.0,X11,400070.0,12:30:00,1190.14052632,20.0
3,MA_A6-Weekday-SDon-042500_X1011_602,2856.0,X11,400070.0,12:30:00,5954.69702128,8.0
4,CA_A6-Weekday-SDon-041000_X1011_309,2225.0,X11,400070.0,12:30:00,9693.43148936,2.0
5,MA_A6-Weekday-SDon-039500_X1011_601,2862.0,X11,400070.0,12:30:00,19680.3544681,2.0
0,MA_A6-Weekday-SDon-042500_X1011_602,2856.0,X11,201951.0,12:00:00,12.8801574803,12.0
1,CA_A6-Weekday-SDon-041000_X1011_309,2225.0,X11,201951.0,12:00:00,993.487765957,9.0
0,MA_A6-Weekday-SDon-042500_X1011_602,2856.0,X11,201951.0,12:05:00,23.88,12.0
1,CA_A6-Weekday-SDon-041000_X1011_309,2225.0,X11,201951.0,12:05:00,3043.51712,4.0
0,MA_A6-Weekday-SDon-042500_X1011_602,2856.0,X11,201951.0,12:10:00,1097.41612903,9.0
1,CA_A6-Weekday-SDon-041000_X1011_309,2225.0,X11,201951.0,12:10:00,4326.305625,2.0
0,MA_A6-Weekday-SDon-042500_X1011_602,2856.0,X11,201951.0,12:15:00,2920.79333333,6.0
0,CA_A6-Weekday-SDon-043500_X1011_315,2657.0,X11,201951.0,12:20:00,341.168842105,11.0
1,MA_A6-Weekday-SDon-042500_X1011_602,2856.0,X11,201951.0,12:20:00,3837.59,3.0
0,CA_A6-Weekday-SDon-043500_X1011_315,2657.0,X11,201951.0,12:25:00,1433.10617021,9.0
1,MA_A6-Weekday-SDon-042500_X1011_602,2856.0,X11,201951.0,12:25:00,4584.276,0.0
0,CA_A6-Weekday-SDon-043500_X1011_315,2657.0,X11,201951.0,12:30:00,3021.37770833,4.0
1,MA_A6-Weekday-SDon-046500_X1242_602,2890.0,X11,201951.0,12:30:00,70.5068085106,12.0
2,MA_A6-Weekday-SDon-044500_X1011_603,2634.0,X11,201951.0,12:30:00,1190.14052632,9.0
0,CA_A6-Weekday-SDon-039000_X14_306,2220.0,X14,404850.0,12:00:00,8437.90178295,17.0
1,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,404850.0,12:00:00,2617.0609375,32.0
2,CA_A6-Weekday-SDon-036300_X14_304,2662.0,X14,404850.0,12:00:00,24245.0907937,6.0
3,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,404850.0,12:00:00,12475.2206504,6.0
