,trip_id,route_id,stop_id,vehicle_id,time_of_day,date,dist_along_route,stop_num_from_call,estimated_arrival_time,actual_arrival_time
43,CA_A6-Weekday-SDon-039000_X14_306,X14,903205,2224.0,12:25:00,20160125.0,17099.3824957,5.0,737.740980398,1298.97768207
44,CA_A6-Weekday-SDon-040000_X14_307,X14,903205,2646.0,12:25:00,20160125.0,16384.427619,7.0,1128.72947637,1385.69453139
45,CA_A6-Weekday-SDon-041000_X14_308,X14,903205,2213.0,12:25:00,20160125.0,10042.0271094,10.0,1654.90046627,2481.20443975
46,CA_A6-Weekday-SDon-039000_X14_306,X14,903205,2224.0,12:30:00,20160125.0,19598.4355129,4.0,633.52504329,998.977682067
47,CA_A6-Weekday-SDon-040000_X14_307,X14,903205,2646.0,12:30:00,20160125.0,18976.3044211,4.0,601.398870483,1085.69453139
48,CA_A6-Weekday-SDon-041000_X14_308,X14,903205,2213.0,12:30:00,20160125.0,11891.3246828,9.0,1478.11332645,2181.20443975
49,CA_A6-Weekday-SDon-039000_X14_306,X14,803071,2224.0,12:00:00,20160125.0,5928.17483871,26.0,3259.78633332,3443.7134366
50,CA_A6-Weekday-SDon-039000_X14_306,X14,803071,2224.0,12:05:00,20160125.0,7103.17042672,23.0,3085.12930739,3143.7134366
51,CA_A6-Weekday-SDon-039000_X14_306,X14,803071,2224.0,12:10:00,20160125.0,9602.22344397,17.0,2368.1297252,2843.7134366
52,CA_A6-Weekday-SDon-039000_X14_306,X14,803071,2224.0,12:15:00,20160125.0,12101.2764612,16.0,2283.11950701,2543.7134366
53,CA_A6-Weekday-SDon-039000_X14_306,X14,803071,2224.0,12:20:00,20160125.0,14600.3294784,15.0,2073.02771003,2243.7134366
54,CA_A6-Weekday-SDon-039000_X14_306,X14,803071,2224.0,12:25:00,20160125.0,17099.3824957,12.0,1529.96051633,1943.7134366
55,CA_A6-Weekday-SDon-039000_X14_306,X14,803071,2224.0,12:30:00,20160125.0,19598.4355129,11.0,1425.74457922,1643.7134366
0,MA_A6-Weekday-SDon-042500_X1011_602,X11,202669,2872.0,12:10:00,20160126.0,903.287741935,2.0,109.798111146,108.471266591
1,CA_A6-Weekday-SDon-043500_X1011_315,X11,202669,2582.0,12:25:00,20160126.0,1328.84584615,1.0,46.9093166351,49.3194605963
2,MA_A6-Weekday-SDon-044500_X1011_603,X11,202669,2849.0,12:25:00,20160126.0,7.96,4.0,236.963297802,356.394736084
3,MA_A6-Weekday-SDon-044500_X1011_603,X11,202669,2849.0,12:30:00,20160126.0,1120.56489362,1.0,12.7050133589,56.3947360843
4,CA_A6-Weekday-SDon-041000_X1011_309,X11,201948,2224.0,12:05:00,20160126.0,2472.74571429,4.0,280.884266518,517.624071703
5,MA_A6-Weekday-SDon-042500_X1011_602,X11,201948,2872.0,12:10:00,20160126.0,903.287741935,8.0,560.186604084,807.436932707
6,CA_A6-Weekday-SDon-041000_X1011_309,X11,201948,2224.0,12:10:00,20160126.0,3675.913125,2.0,196.773171727,217.624071703
7,MA_A6-Weekday-SDon-042500_X1011_602,X11,201948,2872.0,12:15:00,20160126.0,2798.23125,4.0,322.286774591,507.436932707
8,MA_A6-Weekday-SDon-042500_X1011_602,X11,201948,2872.0,12:20:00,20160126.0,3824.26396825,1.0,44.9216051699,207.436932707
9,CA_A6-Weekday-SDon-043500_X1011_315,X11,201948,2582.0,12:25:00,20160126.0,1328.84584615,7.0,497.297809572,615.571981887
10,MA_A6-Weekday-SDon-044500_X1011_603,X11,201948,2849.0,12:25:00,20160126.0,7.96,10.0,687.351790739,931.883982191
11,CA_A6-Weekday-SDon-043500_X1011_315,X11,201948,2582.0,12:30:00,20160126.0,3244.93947917,2.0,124.985286138,315.571981887
12,MA_A6-Weekday-SDon-044500_X1011_603,X11,201948,2849.0,12:30:00,20160126.0,1120.56489362,7.0,463.093506296,631.883982191
13,CA_A6-Weekday-SDon-041000_X1011_309,X11,202589,2224.0,12:05:00,20160126.0,2472.74571429,2.0,83.0272354816,205.352409306
