,ratio_baseline,linear_regression,SVM,NN,GP
0,1.14423720247,0.955095175955,0.990083655353,0.969835187124,0.96207962871
1,1.03613073948,0.879070847725,0.901238537542,0.886930974636,0.872663549121
2,0.830856162491,0.680452242695,0.704347726174,0.68137242434,0.693958296365
3,1.29473806257,1.06837604644,1.11459359472,1.08732481899,1.08681672276
4,1.45144018692,1.19908719343,1.25027728774,1.22027457081,1.21860212684
5,1.14266387209,0.977315595159,0.996043023442,0.982250611362,0.963063461024
6,1.19561682786,0.978530630678,1.02263947539,0.993086537263,1.00151397662
7,1.56141623216,1.27699909824,1.33397017257,1.29445697123,1.3074359741
8,1.12668955088,0.943934655024,0.976194907567,0.957320024362,0.947733791386
9,0.889705862396,0.729314330423,0.753536917181,0.728740064125,0.742886729673
10,1.05820310988,0.864875424912,0.902354131718,0.874855062199,0.8855329915
11,1.41959524957,1.18901238485,1.22986307716,1.20598688418,1.19408057374
12,1.04028409899,0.898473064507,0.90831734772,0.897405524482,0.877257242681
13,1.21878975576,1.00450962767,1.04850276038,1.02232935735,1.02284047642
14,1.54115761091,1.30870005422,1.28732869781,1.24165087905,1.28099974433
15,1.34741927681,1.1200881585,1.13256661693,1.09323742041,1.1222786573
16,1.07557094093,0.883684901449,0.923390775867,0.898986494579,0.902044941748
17,1.34777641704,1.13036804466,1.16817673252,1.14595456385,1.13383902542
18,1.65369507409,1.35144838675,1.40889180886,1.36544777685,1.38345757835
19,1.33204972482,1.09917477518,1.14671981153,1.11866946523,1.11813840327
20,1.60282913106,1.30990019585,1.36475325231,1.32235401054,1.34064777852
21,1.20034972328,0.982793841021,1.02722162296,0.997876597772,1.00564814169
22,1.23724522881,1.01167209228,1.05133706118,1.01787973704,1.03418188416
23,1.36571631361,1.12446085643,1.17417756111,1.14434318511,1.14591621676
24,1.16628384042,0.982710022895,1.01239137749,0.994461852476,0.981635145054
25,1.30373642681,1.11587274107,1.13665162055,1.12110897159,1.09888338303
26,0.854232743652,0.723006840909,0.742512871497,0.73025906035,0.719302817766
27,1.11834730285,0.923735985919,0.963256276239,0.940071144215,0.938914071154
28,1.03797673549,0.849213209341,0.887340136281,0.861404336784,0.869317910294
29,1.17865052466,1.10712032364,1.04373058619,1.04825474184,0.998552326732
30,1.24040203788,1.02624085775,1.06927621996,1.04421453402,1.04166750388
31,1.14904243903,0.939214762175,0.977360107753,0.946611671886,0.960766393996
32,0.770598767849,0.883113774998,0.696954240079,0.723950226182,0.657501356736
