,baseline,single_linear_regression,single_SVM,single_NN,single_GP,MTL_GP,multiple_linear_regression,multiple_SVM,multiple_NN,multiple_GP,bin_number
0,9050.11254328,8916.18327388,9377.03299431,10454.9439797,8044.43396848,6890.05539967,8905.54830117,9702.13652872,9189.32451381,7236.60012076,0.0
1,62187.1569448,26294.9901705,38864.1589233,71672.5763015,23844.5013035,31485.8713313,29920.1699557,38274.4288659,29314.2617256,28737.9630237,1.0
2,329783.633724,296722.587777,129042.107077,97522.2369389,103478.296023,115838.646914,105195.709548,142135.348019,135995.55354,103642.261351,2.0
3,1873204.57059,401897.468309,426513.213991,118327.846087,129931.593727,2225782.02878,286415.87148,546083.311936,205428.696075,263409.14112,3.0
4,5350833.91347,165332.561432,840779.451868,100198.47557,45469.6622908,5406183.09197,190698.98528,889166.840125,103352.163607,44544.1248978,4.0
