,ratio_baseline,linear_regression,SVM,NN,GP
0,1.14423720247,0.954152054316,0.972395494143,0.95425132071,0.95961286005
1,1.03613073948,0.864004658721,0.880524475379,0.864094546519,0.868949532626
2,0.830856162491,0.692831095311,0.70607806401,0.692903174855,0.696796308194
3,1.29473806257,1.07965112438,1.10029411334,1.07976344723,1.08583018675
4,1.45144018692,1.21032128048,1.23346269002,1.21044719776,1.21724819465
5,1.14266387209,0.952840091719,0.971058446748,0.952939221621,0.958293388825
6,1.19561682786,0.996996295889,1.01605891997,0.997100019637,1.00270230791
7,1.56141623216,1.30202767603,1.3269225169,1.30216313409,1.3094794445
8,1.12668955088,0.939519487068,0.957483151403,0.939617231145,0.944896547652
9,0.889705862396,0.741904453474,0.756089707483,0.741981638425,0.746150523139
10,1.05820310988,0.882410280836,0.899282014003,0.882502083486,0.88746049385
11,1.41959524957,1.18376654836,1.20640022996,1.18388970298,1.19054148442
12,1.04028409899,0.74824576246,0.874470896551,0.782222262253,0.872435492637
13,1.21878975576,1.0163196466,1.03575173422,1.01642538068,1.02213625007
14,1.54115761091,1.28513449598,1.30970633832,1.28526819655,1.29248958136
15,1.34741927681,1.12358072979,1.14506365522,1.1236976229,1.13001121019
16,1.07557094093,0.896892900032,0.914041541675,0.896986209399,0.902026000013
17,1.34777641704,1.12387854049,1.14536716008,1.12399546459,1.13031072533
18,1.65369507409,1.37897679672,1.40534290902,1.37912026029,1.38686896063
19,1.33204972482,1.11076442773,1.13200230476,1.11087998749,1.11712155785
20,1.60282913106,1.3365609026,1.36211602067,1.33669995337,1.34421031173
21,1.20034972328,1.00094294425,1.02008102847,1.0010470786,1.00667154374
22,1.23724522881,1.03170922446,1.05143556166,1.03181655962,1.03761390561
23,1.36571631361,1.13883819145,1.16061284039,1.13895667189,1.1453559934
24,1.16628384042,0.972536218756,0.99113116482,0.97263739777,0.978102240792
25,1.30373642681,1.08715464525,1.10794110194,1.08726774873,1.09337665179
26,0.854232743652,0.712324267609,0.725943946836,0.712398375149,0.716401043871
27,1.11834730285,0.932563085824,0.950393743385,0.932660106183,0.937900333513
28,1.03797673549,0.865543990672,0.882093239442,0.865634038616,0.870497674486
29,1.17865052466,0.847768663731,0.99078278907,0.886264320201,0.98847665953
30,1.24040203788,1.03434161209,1.05411828068,1.03444922111,1.04026135893
31,1.14904243903,0.958159026229,0.976479079579,0.958258709494,0.963642764676
32,0.770598767849,0.642583894153,0.654870133598,0.642650746166,0.646261532112
