,stop_id,route_id,shape_id,direction_id,dist_along_route
168,203573,S46,S460214,0,1223.26
169,200570,S46,S460214,0,1491.62
170,200297,S46,S460214,0,1872.47
171,200298,S46,S460214,0,2216.26
172,200299,S46,S460214,0,2465.23
173,200300,S46,S460214,0,2747.76
174,200301,S46,S460214,0,2971.41
175,200302,S46,S460214,0,3151.58
176,200303,S46,S460214,0,3352.32
177,200304,S46,S460214,0,3601.01
178,200306,S46,S460214,0,3707.94
179,200307,S46,S460214,0,3899.13
180,200308,S46,S460214,0,4176.0
181,200309,S46,S460214,0,4392.79
182,200310,S46,S460214,0,4668.05
183,200311,S46,S460214,0,4805.11
184,200312,S46,S460214,0,5004.12
185,200313,S46,S460214,0,5159.35
186,200314,S46,S460214,0,5363.14
187,200315,S46,S460214,0,5703.54
188,200316,S46,S460214,0,5963.37
189,200317,S46,S460214,0,6197.03
190,200318,S46,S460214,0,6440.46
191,200319,S46,S460214,0,6631.22
192,200320,S46,S460214,0,6769.22
193,200322,S46,S460214,0,7094.69
194,200323,S46,S460214,0,7303.54
195,202600,S46,S460214,0,7651.1
196,200327,S46,S460214,0,7909.71
197,200329,S46,S460214,0,8283.4
198,200330,S46,S460214,0,8489.92
199,200331,S46,S460214,0,8733.08
200,200332,S46,S460214,0,8908.81
201,200333,S46,S460214,0,9180.0
202,200334,S46,S460214,0,9545.92
203,200335,S46,S460214,0,9802.66
204,202830,S46,S460214,0,10173.86
205,203381,S46,S460214,0,10458.5
206,203382,S46,S460214,0,10873.28
207,203383,S46,S460214,0,11099.31
208,203576,S46,S460214,0,11887.95
209,203829,S46,S460214,0,12346.35
210,805040,S46,S460214,0,12548.31
211,805138,S46,S460214,0,13056.26
212,905154,S46,S460214,0,13378.38
213,202538,S46,S460215,0,0.1
214,200176,S46,S460215,0,280.9
215,200177,S46,S460215,0,634.82
216,905003,S46,S460215,0,759.35
217,200293,S46,S460215,0,896.73
218,203922,S46,S460215,0,1152.71
219,203573,S46,S460215,0,1223.26
220,200570,S46,S460215,0,1491.62
221,200297,S46,S460215,0,1872.47
222,200298,S46,S460215,0,2216.26
223,200299,S46,S460215,0,2465.23
224,200300,S46,S460215,0,2747.76
225,200301,S46,S460215,0,2971.41
226,200302,S46,S460215,0,3151.58
227,200303,S46,S460215,0,3352.32
228,200304,S46,S460215,0,3601.01
229,200306,S46,S460215,0,3707.94
230,200307,S46,S460215,0,3899.13
231,200308,S46,S460215,0,4176.0
232,200309,S46,S460215,0,4392.79
233,200310,S46,S460215,0,4668.05
234,200311,S46,S460215,0,4805.11
235,200312,S46,S460215,0,5004.12
236,200313,S46,S460215,0,5159.35
237,200314,S46,S460215,0,5363.14
238,200315,S46,S460215,0,5703.54
239,200316,S46,S460215,0,5963.37
240,200317,S46,S460215,0,6197.03
241,200318,S46,S460215,0,6440.46
242,200319,S46,S460215,0,6631.22
243,200320,S46,S460215,0,6769.22
244,200322,S46,S460215,0,7094.69
245,200323,S46,S460215,0,7303.54
246,202600,S46,S460215,0,7651.1
247,200327,S46,S460215,0,7909.71
248,200329,S46,S460215,0,8283.4
249,200330,S46,S460215,0,8489.92
250,200331,S46,S460215,0,8733.08
251,200332,S46,S460215,0,8908.81
252,200333,S46,S460215,0,9180.0
253,200334,S46,S460215,0,9545.92
254,200335,S46,S460215,0,9802.66
255,202830,S46,S460215,0,10173.86
256,203381,S46,S460215,0,10458.5
257,203382,S46,S460215,0,10873.28
258,203383,S46,S460215,0,11099.31
259,203576,S46,S460215,0,11887.95
260,203829,S46,S460215,0,12346.35
261,805040,S46,S460215,0,12548.31
262,805138,S46,S460215,0,13056.26
263,905154,S46,S460215,0,13378.66
264,805139,S46,S460215,0,13712.5
265,203384,S46,S460215,0,13913.49
266,203577,S46,S460215,0,14642.42
267,905114,S46,S460215,0,15404.69
268,203420,S48,S480057,0,0.01
269,203427,S48,S480057,0,219.55
270,202809,S48,S480057,0,485.03
271,202823,S48,S480057,0,611.51
272,202824,S48,S480057,0,1134.69
273,203087,S48,S480057,0,1527.15
274,202830,S48,S480057,0,1764.04
275,203730,S48,S480057,0,2088.21
276,201484,S48,S480057,0,2299.46
277,201485,S48,S480057,0,2530.79
278,203537,S48,S480057,0,2870.98
279,201488,S48,S480057,0,3248.74
280,201489,S48,S480057,0,3371.77
281,200407,S48,S480057,0,3586.79
282,200408,S48,S480057,0,3902.77
283,201492,S48,S480057,0,4183.02
284,201493,S48,S480057,0,4376.01
285,201494,S48,S480057,0,4516.34
286,201495,S48,S480057,0,4757.46
287,201496,S48,S480057,0,4975.58
288,201497,S48,S480057,0,5151.7
289,201498,S48,S480057,0,5368.16
290,201499,S48,S480057,0,5632.03
291,201500,S48,S480057,0,5766.54
292,201501,S48,S480057,0,5980.25
293,201502,S48,S480057,0,6183.6
294,201503,S48,S480057,0,6432.89
295,201504,S48,S480057,0,6677.19
296,201505,S48,S480057,0,6899.51
297,201506,S48,S480057,0,7071.02
298,201507,S48,S480057,0,7331.92
299,201508,S48,S480057,0,7636.39
300,201509,S48,S480057,0,7826.57
301,201510,S48,S480057,0,7913.29
302,201511,S48,S480057,0,8227.6
303,201512,S48,S480057,0,8459.21
304,201513,S48,S480057,0,8766.82
