,ratio_baseline,lbfgs,sgd,adam
2802,1.18436544578,1.11507740643,1.10930707202,1.08418386464
2803,1.30312215231,1.24857541283,1.48327062564,1.24848171536
2804,1.09402835843,0.940219590199,0.862682248408,0.91980917729
2805,1.36020749584,0.788203263097,0.781560881231,0.784193636099
2806,1.39320480006,1.239674234,1.17215431265,1.21338949755
2807,1.11756660511,1.06694271785,1.05461030833,1.02843819097
2808,0.918927571196,0.882275574244,0.872126469349,0.848520145239
2809,1.04298576609,0.825831451863,0.735324464868,0.818435102465
2810,0.832938148444,0.724127039609,0.703174535202,0.72197675164
2811,0.930654070403,0.915085319607,0.905406585269,0.872004982562
2812,0.966219884421,0.834607512168,0.704208921147,0.782412135976
2813,1.40386561613,1.39409387156,1.37346829188,1.31746342786
2814,1.42430856999,1.18081019998,1.19469220573,1.21303685001
2815,0.95829009196,0.924837402711,0.917479887952,0.888960652193
2816,1.03826089558,0.938014899913,0.88580968118,0.912609168789
2817,1.0560028405,1.03682158327,1.05011846713,0.973359842338
2818,1.71643851082,1.27385770118,1.13094835065,1.26707833683
2819,1.2383554692,1.13728866199,1.12776408752,1.11615567513
2820,1.07199380641,0.93496856267,0.868985601557,0.91794544156
2821,1.14612662538,0.91817667209,0.815945145035,0.907830614201
2822,1.07822948303,1.05288181963,1.05588903827,1.01048211333
2823,1.0213091865,0.967363258417,0.948361970337,0.933411936283
2824,1.20436559956,1.10157567062,1.09754691916,1.08431366563
2825,1.33227905297,1.15305921514,1.10200784096,1.14587846947
2826,5.04571754761,1.29596901554,2.01818260712,1.40222854522
2827,1.03042994677,0.985443310224,1.09416601099,0.994664213282
2828,2.33057533874,2.26358060967,2.42067820851,2.24585557797
2829,1.16151920266,1.02423976943,0.958522526924,1.00296283051
2830,0.999887468662,0.966361741776,0.972682392423,0.929563785653
2831,1.01100477292,1.09018493729,1.14123978739,1.00620001023
2832,1.32151939146,1.09574027367,0.995870484226,1.07704689835
2833,0.978126340957,0.81643097849,0.75504164253,0.803542638157
2834,3.02664103387,0.888225595022,1.27442798789,0.924343075235
2835,1.13762449093,1.07339261594,1.17480740153,1.0823541808
2836,1.03788064391,0.872100930997,0.796261996906,0.85496057168
2837,0.880496279835,0.93336611844,0.661682950559,0.7601850642
2838,0.958138598889,0.881943163725,0.877075074923,0.865399479254
2839,1.34665028198,1.19548205862,1.12010414157,1.16877466164
2840,0.949458632939,0.885495880454,0.858932502747,0.857713583752
2841,1.91362388164,1.1997912886,1.14808749909,1.19966376888
2842,1.26941276264,1.10223726229,1.03649311717,1.08874866887
2843,0.848161362052,0.729804083343,0.653558203573,0.705798274038
2844,0.914416326744,0.924445318193,0.985504631509,0.897542266633
2845,1.12620098149,0.944188753328,0.871030047515,0.932122000163
2846,1.43828761158,1.14105038471,1.02000400743,1.13221364037
2847,1.13210323792,1.0192977433,0.960055439381,0.992371241496
2848,1.12975296738,1.06327087095,1.03895253371,1.02779596674
2849,1.01044155935,0.859256484405,0.892472825626,0.881475462295
2850,0.889092180013,0.834611084714,0.791692670376,0.79925521154
2851,1.19111725708,1.0530426883,1.00737328146,1.03862596343
2852,1.00123683201,0.928873429957,0.855794594838,0.883488124763
2853,0.822127352192,0.900834332799,1.0642567621,0.86527353758
2854,1.17787822185,0.967865365981,0.882637025747,0.956850887604
2855,1.21056570686,1.07557810727,1.04053344018,1.06282704047
2856,1.12071997757,0.936854821972,0.853718538606,0.920486978165
2857,1.26269518448,1.06364646065,0.990749089905,1.05331721873
2858,0.744270641436,0.695882364425,0.679375924746,0.670735502137
2859,0.792644438422,0.833199932172,1.00095038822,0.821607216913
2860,0.887506504038,0.863030686826,0.864034668795,0.82847799863
2861,0.845806788385,0.9092291529,0.938529793987,0.839809064743
2862,1.35901381594,1.20052516019,1.16119018338,1.18863344409
2863,1.16838330635,1.0831227272,1.06552643619,1.05659465104
2864,1.38974017803,1.12008184599,1.00921264392,1.11355438591
2865,2.16833264086,0.909000686797,1.04791790866,0.86389416674
2866,0.914354185311,0.884761681992,0.972038568607,0.888916440109
2867,1.25756245603,1.08116813985,0.984893033187,1.05484789857
2868,1.47477981051,1.35603786041,1.22913663615,1.28122995947
2869,1.0345351647,0.9630362736,0.954044617362,0.939602867268
2870,1.07299382016,0.957298280784,0.898504982703,0.933959592889
2871,1.88996657002,1.44274733986,1.25908113764,1.41823422378
2872,0.883523581455,0.844674262258,0.838122142896,0.814378731274
2873,1.29081123672,1.18494262354,1.18218454601,1.16502682899
2874,1.28347524365,1.01695166971,0.904120317228,1.00623628608
2875,1.11675749499,0.946984382509,0.932286676479,0.942348099729
2876,1.23680519243,1.10950339507,1.08479406483,1.09598154032
2877,1.27158483742,1.13969830456,1.08524693439,1.11602300889
2878,0.82793855775,0.712290087483,0.654372546594,0.696958517222
2879,1.01407893245,0.980758325897,0.976473490927,0.942005022642
2880,1.49648574496,1.28543995543,1.19002565963,1.26260487409
2881,1.13402152806,1.02115858316,1.01881149785,1.01214485397
2882,1.07188629245,1.04416426801,1.09894518991,1.02419066455
2883,0.81683499757,0.837114084405,0.980648243369,0.827835402839
2884,1.14388596747,1.05420970112,1.02908715416,1.02840462022
2885,1.01281286437,0.997890383219,1.08912786726,0.987534645044
2886,0.879265162584,0.760722856607,0.706359684414,0.747147922812
2887,1.64054788612,1.2462518929,1.08674888331,1.22601982615
2888,1.11149980196,1.05604631141,1.03875040856,1.01829819568
2889,0.92154468756,0.906254094166,0.986502331132,0.897484639768
2890,1.05291851313,0.886479106919,0.756524688759,0.849317498591
2891,1.49781000293,0.902854868051,0.88176317406,0.902845555067
2892,1.2155268708,1.09381282209,1.04863168194,1.07082125265
2893,1.54798694177,1.38479202879,1.43958862572,1.39142825905
2894,0.884086188941,0.842066456658,0.828410795928,0.811188032673
2895,1.02796669766,0.928606035445,0.859279633494,0.897159985455
2896,2.65540449582,0.719909326023,1.08336677727,0.766053518001
2897,1.25943281935,1.09239775911,1.01282552897,1.07076500483
2898,0.965501360142,0.859457036427,0.811188182868,0.841090139455
2899,0.872739289407,0.734419232817,0.670271101238,0.7158673942
2900,1.37725032762,1.33701582944,1.60211919544,1.34649072533
2901,0.928482471155,0.856352640887,0.828834161881,0.832629033665
2902,0.819403769574,0.746588356103,0.838931439419,0.766185223609
2903,0.875341997366,1.05428904275,1.09739843829,0.951400104749
