,baseline,single_linear_regression,single_SVM,single_NN,single_GP,MTL_GP,multiple_linear_regression,multiple_SVM,multiple_NN,multiple_GP,sample_size,num_shapes
0,0.187090356231,9.24823664348,0.0643091769153,0.0490996511157,0.050113598551,0.0619602629418,0.0457349558446,0.0650918987238,0.043719503518,0.0444648828262,969.0,15.0
1,0.277019129016,0.190326861105,0.0852860069279,0.0588820364731,0.0475255048645,0.057789958628,0.0576399820338,0.0858446643037,0.05493298694,0.0523116210567,1938.0,15.0
2,0.232016170346,0.133820851973,0.067617702297,0.0462599699644,0.0456609556248,0.0646416103992,0.0496996180308,0.0691756258635,0.0468389270025,0.0467316445006,2907.0,15.0
3,0.287916899552,0.0583659376951,0.0903452169528,0.11606901114,0.058222983533,0.0781983323472,0.063063391049,0.0938707022261,0.0595870915263,0.0598214897886,3876.0,15.0
4,0.226578345012,0.0530625945133,0.0738510922452,0.0550203124369,0.0446516111557,0.0625644856484,0.0569639039045,0.0802386597658,0.0542431990511,0.056465671408,4845.0,15.0
5,0.230931056355,1253.6286452,0.0822825925261,0.0558647576023,0.0569677560346,0.081611475592,0.0680411353814,0.0859301462822,0.0603959054454,0.0605246251835,5814.0,15.0
6,0.260065123696,4.19615837432,0.0715020493924,0.057761191605,0.0537680523683,0.0811396664976,0.0627955290142,0.0806582203694,0.0658105412944,0.0582292731873,6783.0,15.0
7,0.191979523157,0.0480507311334,0.0631646170233,0.0472159188269,0.0483750185706,0.0639847257166,0.054910019188,0.0684079047213,0.0518643160042,0.0518067536952,7752.0,15.0
8,0.205650070646,0.0505960230919,0.0572931833744,0.0444027614908,0.039547899197,0.0679361039974,0.0512163592595,0.0637569006882,0.0491528383769,0.0473920146559,8721.0,15.0
9,0.215423229942,0.0566275188276,0.0614374097464,0.0515312232008,0.0465295200137,0.078076038984,0.0553994574713,0.0663822227805,0.053825735025,0.0520291461751,9690.0,15.0
10,0.198247274339,8.7478862786,0.0599532756939,0.0534952681967,0.0461944821659,0.0704448394468,0.0543567075545,0.064139728604,0.0515699095591,0.0505859810424,10659.0,15.0
