,ratio_baseline,GP_RBF_ARD,GP_RBF_NoARD,GP_Matern32_ARD,GP_Matern32_NoARD,GP_Matern52_ARD,GP_Matern52_NoARD,GP_Linear_ARD,GP_Linear_NoARD
3212,0.971508332974,0.927007084016,0.906851719065,0.937804747688,0.892836876207,0.926807927491,0.905635609429,0.856629446342,0.859719309823
3213,0.590384761843,0.639044095613,0.643350091759,0.634590626905,0.621007686064,0.64263391119,0.631809699209,0.937824586763,0.942265915152
3214,1.01162516062,0.795124801031,0.809423571218,0.793538472198,0.82270086248,0.79750217078,0.816260885706,0.73423213516,0.734149395785
3215,1.15073348636,0.968522348935,0.9456496694,1.001390107,0.950021606403,0.971590122081,0.951416318586,0.853228282409,0.852095829997
3216,1.34206939961,1.23778791851,1.23735540399,1.22431427953,1.23241895279,1.23141629597,1.23115886985,1.22157413011,1.22264939434
3217,1.03728132802,0.970619408509,0.958307693436,0.974154148644,0.950285165695,0.967660545172,0.95508667549,0.936696760237,0.936865651404
3218,0.946479092184,0.858604138356,0.858061969372,0.851054083469,0.858722699813,0.854673096399,0.853158520718,0.854174851843,0.85399401242
3219,1.11412504658,0.904943661083,0.922447275579,0.900736622371,0.929589285775,0.905674189028,0.92863022967,0.821111644741,0.823338492207
3220,0.975433627466,0.894506925204,0.888831341494,0.888596658907,0.882421461375,0.889887968363,0.885955520587,0.861258627684,0.861118140077
3221,0.980089256732,0.807972578292,0.80413190379,0.812752798415,0.836659781096,0.806596601128,0.796816973056,0.859930436494,0.861250914255
3222,1.04737929168,0.966434222265,0.95653749721,0.965972721857,0.950518232098,0.962540648461,0.952946009034,0.937319256005,0.936420453741
3223,1.09497459189,1.01736754754,0.99877299523,1.02655980325,0.992578021469,1.0157790023,0.995489200868,0.982166079122,0.980674456338
3224,1.03669858194,0.831668085785,0.844506346753,0.827550597334,0.856501278801,0.832847305095,0.851381862714,0.766853435847,0.766773069074
3225,1.53230012437,1.22498343753,1.2442988181,1.22004060022,1.26188609185,1.22668257194,1.25208471571,1.12896129952,1.12905478021
3226,1.06695163255,0.894354220011,0.898772735801,0.885370038218,0.903848256088,0.891512372337,0.897903439861,0.841515840506,0.841667192643
3227,1.00599659871,0.886057434439,0.886062664622,0.876081742604,0.886996481675,0.881581849162,0.882343496874,0.856467546099,0.856401330674
3228,0.748739949858,0.777028273891,0.79354418496,0.775258239242,0.787118734288,0.779239650413,0.804569158318,1.10989308176,1.10285193752
3229,1.09160456163,0.980285001692,0.972650652026,0.975567271001,0.966337815594,0.975758840325,0.972008115793,0.924553124037,0.923863344931
3230,0.941955195233,0.852584266069,0.854569445424,0.854451807191,0.866130775094,0.85243260352,0.850457815623,0.896490871354,0.89662675914
3231,4.6939416569,1.28249991745,1.27837683442,1.30633532829,1.29753820495,1.2913568304,1.288022763,2.28950031855,2.29007634351
3232,1.27316149124,1.20055662886,1.19108246596,1.20237446005,1.18515147669,1.19727182106,1.18584295711,1.20298255878,1.20168176086
