,ratio_baseline,identity,logistic,tanh,relu
1130,1.51084669329,1.01642120673,0.962756834014,1.02636459171,1.11057839558
1131,0.81647928808,0.904525768532,0.815066209303,0.913446379458,0.849572156517
1132,1.01689648269,0.764382656453,0.719447860431,0.770476923311,0.871705764437
1133,0.961284220948,0.973038086782,0.888033090746,0.980858152448,0.959759870298
1134,1.63403080847,1.06083001704,1.00893616884,1.07272632889,1.1145526439
1135,1.49195317238,1.05567553875,1.01694658329,1.07096015047,1.22410851644
1136,1.1235211529,0.989313436614,0.918187244263,0.996524895051,1.0491897137
1137,1.04978759996,1.02183878818,0.935061138473,1.02759392795,1.03922694213
1138,1.00428648324,0.904803384461,0.834773641641,0.908907041248,0.959851455921
1139,1.44601119663,1.22702877166,1.14437613209,1.23637523595,1.32387136036
1140,1.07932617164,0.815280848488,0.766007997107,0.820709916864,0.929107346315
1141,2.36425247107,1.18208028104,1.14158307858,1.21156452808,0.833925419728
1142,0.88915607115,1.27050238284,1.10878636811,1.30456246008,1.02984637226
1143,0.443547665,0.481870498854,0.450171704577,0.49116824033,0.466163123586
1144,1.18142244605,1.23105289814,1.11996825913,1.24154222266,1.19482133402
1145,1.22169925804,0.888085929525,0.83632382949,0.894951298284,1.03171382888
1146,0.940293213462,1.02643614609,0.926182051983,1.03499725975,0.979555078681
1147,1.08019298332,0.99862913368,0.918366586477,1.00437641413,1.03587960567
1148,0.733247905707,0.624550977409,0.586882748495,0.630968733276,0.669542242454
1149,1.09431930135,0.839460943543,0.793552250652,0.845920651256,0.947465963676
1150,0.983039469881,0.777531822343,0.728734064183,0.783290329031,0.866844615584
1151,0.872216811625,0.826883445217,0.759444786768,0.832237744123,0.84568193231
1152,0.696368175879,0.660931906004,0.61801606764,0.669225441325,0.675232814691
1153,1.14249319806,0.86603922246,0.813175030645,0.87152778285,0.985742507712
1154,2.13703240886,1.47492472898,1.40423418419,1.49123519025,1.69654751318
1155,0.789498774261,0.783996035176,0.718021598519,0.790218964854,0.780723898
1156,0.980875657333,0.915756270865,0.842807481272,0.921432421092,0.946660485899
1157,1.28916349994,0.755124022677,0.722785068074,0.766778894041,0.690365672833
1158,1.00495236114,0.961221356186,0.883098324359,0.967796311571,0.977505860304
1159,1.03123081164,0.924777185716,0.852708423722,0.929489490435,0.97473576793
1160,1.07650808293,1.05896564956,0.970176735197,1.06652047136,1.06043657872
1161,1.34338894804,1.19278999841,1.10971207332,1.20287942121,1.25704663307
1162,1.08956249139,0.936667919462,0.873443048398,0.943306347039,1.01549930739
1163,1.06485654796,1.12261596977,1.01783317438,1.13174029477,1.08701770629
1164,0.912081780444,0.973499124019,0.881146311365,0.982155897817,0.933728930769
1165,0.771212077752,0.838706929999,0.761145534707,0.848328370025,0.796263642106
1166,1.05288041717,0.854852218729,0.812648954321,0.865122657595,0.940875525231
1167,0.989706147063,1.08890023973,0.980713223937,1.09887523629,1.02760059856
1168,6.61083723862,3.11061753591,3.01806531879,3.2040037253,2.0430374236
1169,1.09964730194,1.21435529258,1.13890184105,1.24666307449,1.11607835812
1170,0.89424604458,0.797029931737,0.741863464409,0.803689875935,0.84223181184
1171,1.41545869239,1.04759085307,0.991819996938,1.0576557752,1.19996467939
1172,0.818934985876,0.913791075749,0.832658024848,0.926498589453,0.863257820393
1173,1.0852638562,0.873252662784,0.825857671903,0.880087247096,0.962503881227
1174,0.943195155439,0.852244704215,0.78856810619,0.858472154087,0.892282077907
1175,1.10582492595,1.05087037797,0.97126186038,1.0607598504,1.06865903603
1176,3.17639547457,1.52408947688,1.47675659903,1.56728188986,1.02362591469
1177,1.02529818701,0.81421331041,0.777749445271,0.823867422251,0.917896200302
1178,1.19144829193,1.12298716278,1.03142455817,1.13025703946,1.15262561857
1179,1.46824072066,1.18550383934,1.12321990733,1.19897109534,1.30094391711
1180,1.23067034883,0.894808738734,0.859364278348,0.907120202702,1.02601298274
1181,1.59609903731,1.33781361442,1.24511705746,1.34657324736,1.45435119433
1182,1.33305005186,1.34881933549,1.25989169203,1.36580148967,1.31054365237
1183,0.509607275415,0.622818114612,0.567044892759,0.633148581794,0.566280878779
1184,0.922001815938,0.955961186609,0.867647329568,0.963413744232,0.93221248659
1185,1.12379343578,0.951825121107,0.884087959749,0.957305674284,1.03051648512
1186,1.17843447487,0.774505310595,0.733740702768,0.781233825068,0.847623878773
1187,1.05696856677,0.994816476853,0.916023132468,1.00231693648,1.02020655515
1188,1.43799699553,1.24249209076,1.28776076559,1.29698093732,1.26356085724
1189,1.02114180397,0.939137410508,0.864286533573,0.944439483738,0.97975844949
1190,1.13800062133,1.04840380764,0.964415513476,1.05428937689,1.08954127335
1191,1.35675170103,0.957552781472,0.914337984942,0.967935525698,1.13558554484
1192,0.990845834148,0.869666484717,0.808703136836,0.876472710078,0.922856637339
1193,0.889891293914,0.785512888637,0.728258625581,0.791025214664,0.832463564474
1194,1.01680243222,1.23586253134,1.10675127807,1.25178626693,1.09685653344
1195,1.00331277508,0.805693547857,0.754116077079,0.811567617198,0.892175303139
1196,3.75078242659,2.09500255565,2.01077329562,2.13239946506,1.75042868025
1197,0.962359296942,0.838415273624,0.778300836308,0.844246985197,0.894429923203
1198,1.20791979079,1.08584815599,1.0027410978,1.09245667555,1.14172743846
1199,1.0914183773,0.99043697169,0.913255706205,0.995751338272,1.04222528123
1200,1.35365764683,0.935401152021,0.885028102675,0.944082610895,1.06371970799
1201,0.838933514092,1.01746342638,0.91518951919,1.03593811845,0.907674652334
1202,1.22163833922,0.944322413856,0.885250690298,0.95035486906,1.06524252623
1203,1.05703196362,1.04119341102,0.9498615628,1.04794977183,1.0448479639
1204,1.0527920911,0.835060181922,0.781525441672,0.840685758754,0.933825887884
1205,1.06853068989,1.11241121915,1.00873813711,1.12004830173,1.08252013554
1206,1.21090969779,1.32687141318,1.19803136656,1.33654874778,1.27276804413
1207,0.909410671063,0.877214431859,0.803005173159,0.882319190363,0.892620301516
1208,0.961220548139,0.901021754449,0.82662611852,0.905738581235,0.931201736876
1209,0.994333792354,0.831285103619,0.774730166945,0.836381162905,0.904647266178
1210,0.89481354972,0.674832043605,0.632590706407,0.678839368738,0.774553526184
1211,0.904515328769,0.933826023553,0.854496663336,0.943410108511,0.914958857498
1212,1.01655020548,0.876192409308,0.810915638533,0.8809001369,0.941665986562
