,trip_id,vehicle_id,route_id,stop_id,time_of_day,date,dist_along_route,stop_num_from_call
0,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,803071.0,12:00:00,20160125,1233.33809524,40.0
1,CA_A6-Weekday-SDon-036300_X14_304,2647.0,X14,803071.0,12:00:00,20160125,18038.7777778,8.0
2,CA_A6-Weekday-SDon-037800_X14_305,2221.0,X14,803071.0,12:00:00,20160125,9544.695,17.0
3,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,803071.0,12:00:00,20160125,5928.17483871,26.0
4,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,803071.0,12:00:00,20160125,4498.70112903,29.0
0,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,803071.0,12:05:00,20160125,7103.17042672,8.0
1,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,803071.0,12:05:00,20160125,2644.83681567,8.0
2,CA_A6-Weekday-SDon-036300_X14_304,2647.0,X14,803071.0,12:05:00,20160125,22637.3107692,8.0
3,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,803071.0,12:05:00,20160125,6020.32746032,26.0
0,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,803071.0,12:10:00,20160125,9602.22344397,8.0
1,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,803071.0,12:10:00,20160125,4494.1343891,8.0
2,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,803071.0,12:10:00,20160125,8608.79721276,8.0
0,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,803071.0,12:15:00,20160125,12101.2764612,8.0
1,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,803071.0,12:15:00,20160125,6343.43196254,8.0
2,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,803071.0,12:15:00,20160125,11200.6740149,8.0
0,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,803071.0,12:20:00,20160125,14600.3294784,8.0
1,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,803071.0,12:20:00,20160125,8192.72953597,8.0
2,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,803071.0,12:20:00,20160125,13792.550817,8.0
0,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,803071.0,12:25:00,20160125,17099.3824957,8.0
1,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,803071.0,12:25:00,20160125,10042.0271094,8.0
2,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,803071.0,12:25:00,20160125,16384.427619,8.0
0,CA_A6-Weekday-SDon-039000_X14_306,2224.0,X14,803071.0,12:30:00,20160125,19598.4355129,8.0
1,CA_A6-Weekday-SDon-041000_X14_308,2213.0,X14,803071.0,12:30:00,20160125,11891.3246828,8.0
2,CA_A6-Weekday-SDon-040000_X14_307,2646.0,X14,803071.0,12:30:00,20160125,18976.3044211,8.0
0,MA_A6-Weekday-SDon-042500_X1011_602,2872.0,X11,202669.0,12:10:00,20160126,903.287741935,1.0
0,CA_A6-Weekday-SDon-043500_X1011_315,2582.0,X11,202669.0,12:25:00,20160126,1328.84584615,1.0
1,MA_A6-Weekday-SDon-044500_X1011_603,2849.0,X11,202669.0,12:25:00,20160126,7.96,4.0
