,ratio_baseline,linear_regression,SVM,NN,GP
0,1.14423720247,0.973229906985,0.974797234438,0.959591466898,0.95961321125
1,1.03613073948,0.873232033021,0.882711755796,0.86879660989,0.868949691006
2,0.830856162491,0.699606319447,0.707833055467,0.6966625099,0.696796421904
3,1.29473806257,1.0806436772,1.10304661858,1.08543430628,1.08583014216
4,1.45144018692,1.20120238124,1.23657178591,1.21655863149,1.21724785689
5,1.14266387209,0.958275425932,0.973478881575,0.958036818876,0.958293459092
6,1.19561682786,0.982671739653,1.0186411457,1.00191595666,1.00270177725
7,1.56141623216,1.29728082965,1.33025477946,1.30886724416,1.30947923245
8,1.12668955088,0.947335559044,0.959865373295,0.944690066113,0.944896672086
9,0.889705862396,0.726357444706,0.758052435749,0.745150659707,0.74614966088
10,1.05820310988,0.888769323729,0.901521154749,0.887248229989,0.88746058896
11,1.41959524957,1.19018835429,1.20940787771,1.19021630215,1.1905415641
12,1.04028409899,0.86771078593,0.886268180397,0.871866653883,0.872433042638
13,1.21878975576,1.03802394296,1.03830798045,1.02213479855,1.02213664978
14,1.54115761091,1.29719387559,1.31296253966,1.29223220614,1.29248978135
15,1.34741927681,1.11426679234,1.14795219069,1.12934755154,1.13001086928
16,1.07557094093,0.905635312111,0.916313484452,0.901852282395,0.902026146606
17,1.34777641704,1.10206330315,1.14830683169,1.12913113955,1.13030979336
18,1.65369507409,1.35046926596,1.40896825881,1.38523666524,1.38686760933
19,1.33204972482,1.13056364663,1.1348017937,1.11705863451,1.1171219211
20,1.60282913106,1.32475556739,1.36555407723,1.34340022536,1.34420988223
21,1.20034972328,1.02314513352,1.02259743438,1.00668268541,1.00667195251
22,1.23724522881,1.04729445208,1.05404006442,1.03750973394,1.03761418829
23,1.36571631361,1.14812228099,1.16350078057,1.14510218599,1.14535614005
24,1.16628384042,0.953550264414,0.993675832026,0.977072891465,0.978101424617
25,1.30373642681,1.09612335575,1.11069779516,1.09313632589,1.09337679411
26,0.854232743652,0.715829337147,0.727754443942,0.7161983314,0.716401083491
27,1.11834730285,0.957172589581,0.952732882145,0.937968666043,0.937900784146
28,1.03797673549,0.863779382088,0.884305292523,0.870123458414,0.870497571911
29,1.17865052466,0.972935314009,1.00423305868,0.986517631141,0.988473710161
30,1.24040203788,1.01294455363,1.05683781882,1.0390346192,1.04026034268
31,1.14904243903,0.977906955935,0.978890057836,0.96363042269,0.963643128325
32,0.770598767849,0.634074735511,0.65653180695,0.645781660564,0.64626122108
